Item,N,Levels,p,q (BH-FDR)
"For ED admits to the ICU, how often do you conduct a code-status exploration rather than only verification of previously decided goals of care? - 1.",37,4,0.0714,0.268
"For transfers to the ICU coming from another hospital, how often do you conduct a code-status exploration rather than only verification of previously decided goals of care? - 2.",37,5,0.0186,0.139
"For floor transfers to the ICU, how often do you conduct a code-status exploration rather than only verification of previously decided goals of care? - 3.",37,5,0.446,0.608
How often do you think code-status explorations should be part of patients’ ICU admissions rather than verification of previously documented/expressed code-status? - 4.,37,3,0.286,0.536
How often do time constraints prevent you from spending as much time on code-status explorations as you feel you should during ICU admissions? - 5.,37,4,0.413,0.608
How confident do you feel conducting code status explorations on initial ICU admission with your current level of training? - 6.,26,4,0.00129,0.0194
How often do you perceive that patients or their surrogates don't adequately understand the questions asked or clinical circumstances well enough to make informed choices during code-status explorations on ICU admission? - 8.,37,4,0.624,0.72
How often do you conduct code-status explorations with patients on ICU admission for whom you do not feel it is clinically indicated because you feel it is expected/required of you? - 9.,37,4,0.166,0.414
"For ED admits to the ICU, how often do you document a “temporary” or “provisional” code-status with a plan to revisit the discussion later? - 10.",37,4,0.934,0.934
I think more training on when to conduct a code status exploration vs verification on ICU admission would lead to improvements in ICU care. - 11.,37,4,0.158,0.414
"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Identifying a surrogate decision-maker",37,4,0.334,0.557
"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Whether the patient would want tube feeding",37,4,0.275,0.536
"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Acceptability of long-term ventilation/tracheostomy",37,4,0.848,0.909
"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Identifying whether the patient has a prior Advanced Directive or POLST",37,4,0.489,0.612
"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Acceptability of long-term dialysis (excluding short trials of CRRT/iHD for rapidly reversible conditions)",37,4,0.0466,0.233
